Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value (US$),Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2018,X,Paraguay,World,World,TOTAL CPC,TOTAL MOT,854290,$168,4,,kg,4,kg,4
2018,X,Peru,World,World,TOTAL CPC,TOTAL MOT,854290,"$1,622",76,,kg,76,u,1485
2018,X,Philippines,World,World,TOTAL CPC,TOTAL MOT,854290,"$281,748,890",1437969,1437968,kg,1437969,kg,1437969
2018,X,Poland,World,World,TOTAL CPC,TOTAL MOT,854290,"$20,522,208",265691,,kg,265691,N/A,
2018,X,Portugal,World,World,TOTAL CPC,TOTAL MOT,854290,"$2,264,842",19689,,kg,19689,N/A,
2018,X,Romania,World,World,TOTAL CPC,TOTAL MOT,854290,"$2,059,926",70018,,kg,70018,kg,69922
2018,X,Russian Federation,World,World,TOTAL CPC,TOTAL MOT,854290,"$16,520,727",8502,,kg,8502,N/A,
2018,X,Rwanda,World,World,TOTAL CPC,TOTAL MOT,854290,"$1,996",1200,,kg,1200,kg,1200
2018,X,Saudi Arabia,World,World,TOTAL CPC,TOTAL MOT,854290,"$4,910,384",346684,,kg,346684,kg,346684
2018,X,Serbia,World,World,TOTAL CPC,TOTAL MOT,852352,"$4,123,331",84778,,N/A,,N/A,
2018,X,India,World,World,TOTAL CPC,TOTAL MOT,852352,"$92,866,961",403426,,u,440084347,N/A,
2018,X,Singapore,World,World,TOTAL CPC,TOTAL MOT,852352,"$118,820,269",516171,,u,367971953,N/A,
2018,X,Slovakia,World,World,TOTAL CPC,TOTAL MOT,852352,"$36,361,552",364439,,N/A,,u,94295180
2018,X,Viet Nam,World,World,TOTAL CPC,TOTAL MOT,852352,"$11,759,802",51086,,N/A,,N/A,
2018,X,Slovenia,World,World,TOTAL CPC,TOTAL MOT,852352,"$4,158,571",11494,,u,1028429,u,1028429
2018,X,South Africa,World,World,TOTAL CPC,TOTAL MOT,852352,"$5,067,536",22014,,N/A,,N/A,
2018,X,Serbia,World,World,TOTAL CPC,TOTAL MOT,854233,"$28,847",280,,N/A,,N/A,
2018,X,Seychelles,World,World,TOTAL CPC,TOTAL MOT,854233,"$4,794",58,,N/A,,kg,58
